ano,disciplina,acertos,escore
2016,FIS,1,332.68
2016,FIS,2,357.35
2016,FIS,3,382.03
2016,FIS,4,406.71
2016,FIS,5,431.38
2016,FIS,6,456.06
2016,FIS,7,480.74
2016,FIS,8,505.41
2016,FIS,9,530.09
2016,FIS,10,554.76
2016,FIS,11,579.44
2016,FIS,12,604.12
2016,FIS,13,628.79
2016,FIS,14,653.47
2016,FIS,15,678.14
2016,LEM_INGLÊS,1,300.93
2016,LEM_INGLÊS,2,322.07
2016,LEM_INGLÊS,3,343.22
2016,LEM_INGLÊS,4,364.36
2016,LEM_INGLÊS,5,385.5
2016,LEM_INGLÊS,6,406.65
2016,LEM_INGLÊS,7,427.79
2016,LEM_INGLÊS,8,448.94
2016,LEM_INGLÊS,9,470.08
2016,LEM_INGLÊS,10,491.22
2016,LEM_INGLÊS,11,512.37
2016,LEM_INGLÊS,12,533.51
2016,LEM_INGLÊS,13,554.65
2016,LEM_INGLÊS,14,575.8
2016,LEM_INGLÊS,15,596.94
2016,LEM_ESPANHOL,1,224.85
2016,LEM_ESPANHOL,2,247.71
2016,LEM_ESPANHOL,3,270.57
2016,LEM_ESPANHOL,4,293.43
2016,LEM_ESPANHOL,5,316.29
2016,LEM_ESPANHOL,6,339.15
2016,LEM_ESPANHOL,7,362.02
2016,LEM_ESPANHOL,8,384.88
2016,LEM_ESPANHOL,9,407.74
2016,LEM_ESPANHOL,10,430.6
2016,LEM_ESPANHOL,11,453.46
2016,LEM_ESPANHOL,12,476.32
2016,LEM_ESPANHOL,13,499.18
2016,LEM_ESPANHOL,14,522.05
2016,LEM_ESPANHOL,15,544.91
2016,LEM_ITALIANO,1,313.18
2016,LEM_ITALIANO,2,329.87
2016,LEM_ITALIANO,3,346.56
2016,LEM_ITALIANO,4,363.25
2016,LEM_ITALIANO,5,379.94
2016,LEM_ITALIANO,6,396.63
2016,LEM_ITALIANO,7,413.32
2016,LEM_ITALIANO,8,430.01
2016,LEM_ITALIANO,9,446.7
2016,LEM_ITALIANO,10,463.39
2016,LEM_ITALIANO,11,480.08
2016,LEM_ITALIANO,12,496.77
2016,LEM_ITALIANO,13,513.46
2016,LEM_ITALIANO,14,530.15
2016,LEM_ITALIANO,15,546.84
2016,LEM_FRANCÊS,1,311.33
2016,LEM_FRANCÊS,2,328.31
2016,LEM_FRANCÊS,3,345.29
2016,LEM_FRANCÊS,4,362.26
2016,LEM_FRANCÊS,5,379.24
2016,LEM_FRANCÊS,6,396.22
2016,LEM_FRANCÊS,7,413.2
2016,LEM_FRANCÊS,8,430.17
2016,LEM_FRANCÊS,9,447.15
2016,LEM_FRANCÊS,10,464.13
2016,LEM_FRANCÊS,11,481.11
2016,LEM_FRANCÊS,12,498.09
2016,LEM_FRANCÊS,13,515.06
2016,LEM_FRANCÊS,14,532.04
2016,LEM_FRANCÊS,15,549.02
2016,LEM_ALEMÃO,1,320.64
2016,LEM_ALEMÃO,2,336.43
2016,LEM_ALEMÃO,3,352.21
2016,LEM_ALEMÃO,4,367.99
2016,LEM_ALEMÃO,5,383.77
2016,LEM_ALEMÃO,6,399.55
2016,LEM_ALEMÃO,7,415.33
2016,LEM_ALEMÃO,8,431.11
2016,LEM_ALEMÃO,9,446.89
2016,LEM_ALEMÃO,10,462.67
2016,LEM_ALEMÃO,11,478.45
2016,LEM_ALEMÃO,12,494.23
2016,LEM_ALEMÃO,13,510.01
2016,LEM_ALEMÃO,14,525.8
2016,LEM_ALEMÃO,15,541.58
2016,PORT_RED,1,253.09
2016,PORT_RED,2,273.3
2016,PORT_RED,3,293.5
2016,PORT_RED,4,313.71
2016,PORT_RED,5,333.92
2016,PORT_RED,6,354.13
2016,PORT_RED,7,374.33
2016,PORT_RED,8,394.54
2016,PORT_RED,9,414.75
2016,PORT_RED,10,434.96
2016,PORT_RED,11,455.17
2016,PORT_RED,12,475.37
2016,PORT_RED,13,495.58
2016,PORT_RED,14,515.79
2016,PORT_RED,15,536.0
2016,BIO,1,272.09
2016,BIO,2,297.19
2016,BIO,3,322.3
2016,BIO,4,347.4
2016,BIO,5,372.5
2016,BIO,6,397.6
2016,BIO,7,422.71
2016,BIO,8,447.81
2016,BIO,9,472.91
2016,BIO,10,498.01
2016,BIO,11,523.11
2016,BIO,12,548.22
2016,BIO,13,573.32
2016,BIO,14,598.42
2016,BIO,15,623.52
2016,QUI,1,311.35
2016,QUI,2,334.28
2016,QUI,3,357.21
2016,QUI,4,380.13
2016,QUI,5,403.06
2016,QUI,6,425.99
2016,QUI,7,448.92
2016,QUI,8,471.85
2016,QUI,9,494.78
2016,QUI,10,517.71
2016,QUI,11,540.63
2016,QUI,12,563.56
2016,QUI,13,586.49
2016,QUI,14,609.42
2016,QUI,15,632.35
2016,GEO,1,166.89
2016,GEO,2,191.72
2016,GEO,3,216.55
2016,GEO,4,241.39
2016,GEO,5,266.22
2016,GEO,6,291.06
2016,GEO,7,315.89
2016,GEO,8,340.73
2016,GEO,9,365.56
2016,GEO,10,390.39
2016,GEO,11,415.23
2016,GEO,12,440.06
2016,GEO,13,464.9
2016,GEO,14,489.73
2016,GEO,15,514.57
2016,HIS,1,244.63
2016,HIS,2,270.89
2016,HIS,3,297.15
2016,HIS,4,323.41
2016,HIS,5,349.67
2016,HIS,6,375.93
2016,HIS,7,402.19
2016,HIS,8,428.45
