ano,curso,nota_final,modalidade,situacao
2016,Administração - Bacharelado,663.77,AC/A0,Matriculado
2016,Administração - Bacharelado,652.53,AC/A0,Matriculado
2016,Administração - Bacharelado,651.63,AC/A0,Matriculado
2016,Administração - Bacharelado,651.43,AC/A0,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,645.84,AC/A0,Matriculado
2016,Administração - Bacharelado,629.14,AC/A0,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,619.93,AC/A0,Matriculado
2016,Administração - Bacharelado,619.68,AC/A0,Matriculado
2016,Administração - Bacharelado,619.19,AC/A0,Matriculado
2016,Administração - Bacharelado,617.99,AC/A0,Matriculado
2016,Administração - Bacharelado,616.92,AC/A0,Matriculado
2016,Administração - Bacharelado,614.99,AC/A0,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,614.79,AC/A0,Matriculado
2016,Administração - Bacharelado,613.43,AC/A0,Matriculado
2016,Administração - Bacharelado,613.15,AC/A0,Matriculado
2016,Administração - Bacharelado,609.21,AC/A0,Matriculado
2016,Administração - Bacharelado,609.17,AC/A0,Matriculado
2016,Administração - Bacharelado,606.55,AC/A0,Matriculado
2016,Administração - Bacharelado,606.39,AC/A0,Matriculado
2016,Administração - Bacharelado,606.11,AC/A0,Matriculado
2016,Administração - Bacharelado,605.97,AC/A0,Matriculado
2016,Administração - Bacharelado,604.43,AC/A0,Matriculado
2016,Administração - Bacharelado,603.53,AC/A0,Matriculado
2016,Administração - Bacharelado,596.55,AC/A0,Matriculado
2016,Administração - Bacharelado,595.83,AC/A0,Matriculado
2016,Administração - Bacharelado,588.78,AC/A0,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,586.25,AC/A0,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,580.94,AC/A0,Matriculado
2016,Administração - Bacharelado,579.77,AC/A0,Matriculado
2016,Administração - Bacharelado,577.58,AC/A0,Matriculado
2016,Administração - Bacharelado,576.59,AC/A0,Matriculado
2016,Administração - Bacharelado,575.88,AC/A0,Matriculado
2016,Administração - Bacharelado,574.73,AC/A0,Matriculado
2016,Administração - Bacharelado,570.61,-,Aguardando vaga
2016,Administração - Bacharelado,570.17,L3/L5/LI_EP,Renunciante por não comparecimento (não efetuou a matrícula)
2016,Administração - Bacharelado,569.12,-,Aguardando vaga
2016,Administração - Bacharelado,568.58,-,Aguardando vaga
2016,Administração - Bacharelado,567.24,-,Aguardando vaga
2016,Administração - Bacharelado,566.97,-,Aguardando vaga
2016,Administração - Bacharelado,565.55,-,Aguardando vaga
2016,Administração - Bacharelado,565.33,-,Aguardando vaga
2016,Administração - Bacharelado,564.52,-,Aguardando vaga
2016,Administração - Bacharelado,563.14,L1/LB_EP,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,561.35,-,Aguardando vaga
2016,Administração - Bacharelado,560.62,-,Aguardando vaga
2016,Administração - Bacharelado,560.38,-,Aguardando vaga
2016,Administração - Bacharelado,559.81,L3/L5/LI_EP,Matriculado
2016,Administração - Bacharelado,559.12,-,Aguardando vaga
2016,Administração - Bacharelado,558.37,-,Aguardando vaga
2016,Administração - Bacharelado,557.04,L3/L5/LI_EP,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,553.88,-,Aguardando vaga
2016,Administração - Bacharelado,550.03,-,Aguardando vaga
2016,Administração - Bacharelado,544.71,-,Aguardando vaga
2016,Administração - Bacharelado,543.7,-,Aguardando vaga
2016,Administração - Bacharelado,542.44,-,Aguardando vaga
2016,Administração - Bacharelado,542.04,-,Aguardando vaga
2016,Administração - Bacharelado,541.33,L1/LB_EP,Renunciante por não comparecimento (não entregou documentação)
2016,Administração - Bacharelado,540.79,-,Aguardando vaga
2016,Administração - Bacharelado,539.89,-,Aguardando vaga
2016,Administração - Bacharelado,537.99,-,Aguardando vaga
2016,Administração - Bacharelado,537.75,-,Aguardando vaga
2016,Administração - Bacharelado,537.26,-,Aguardando vaga
2016,Administração - Bacharelado,534.94,-,Aguardando vaga
2016,Administração - Bacharelado,534.78,L3/L5/LI_EP,Matriculado
2016,Administração - Bacharelado,534.72,L3/L5/LI_EP,Matriculado
2016,Administração - Bacharelado,534.4,-,Aguardando vaga
