year,mean,std_dev,corrected_count,corrected_percentage
2007,15.4666,3.06,14877,
2008,15.1867,4.0121,15024,50.5
2009,14.9769,3.5879,14535,49.7
2010,14.3835,3.8092,15076,54.9
2011,14.2796,3.7959,15212,51.8
2012,14.8578,3.9958,15580,48.5
2013,14.0968,4.0012,17668,50.3
2014,14.2202,4.0397,16786,51.2
2015,14.7669,3.7421,13039,41.5
2016,15.0922,3.9981,13052,43.0
2017,15.1625,3.8008,12402,45.1
2018,15.0751,3.9614,12197,45.6
2019,14.9004,3.9387,10839,45.9
2020,15.997,3.5603,9953,44.2
2022,9.8347,2.2681,6046,47.2
2023,9.7908,2.2858,8115,37.07
2024,9.5815,2.3696,8244,42.07
2025,9.9959,2.328,7933,43.3
